,Player,Pos,Age,Tm,G,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,PTS
0,Precious Achiuwa,C,22,TOR,73,0.439,0.359,0.468,0.595,2.0,4.5,1.1,0.5,0.6,9.1
1,Steven Adams,C,28,MEM,76,0.547,0.0,0.548,0.543,4.6,5.4,3.4,0.9,0.8,6.9
2,Bam Adebayo,C,24,MIA,56,0.557,0.0,0.562,0.753,2.4,7.6,3.4,1.4,0.8,19.1
3,Santi Aldama,PF,21,MEM,32,0.402,0.125,0.56,0.625,1.0,1.7,0.7,0.2,0.3,4.1
4,LaMarcus Aldridge,C,36,BRK,47,0.55,0.304,0.578,0.873,1.6,3.9,0.9,0.3,1.0,12.9
5,Nickeil Alexander-Walker,SG,23,TOT,65,0.372,0.311,0.433,0.743,0.6,2.3,2.4,0.7,0.4,10.6
8,Grayson Allen,SG,26,MIL,66,0.448,0.409,0.533,0.865,0.5,2.9,1.5,0.7,0.3,11.1
9,Jarrett Allen,C,23,CLE,56,0.677,0.1,0.688,0.708,3.4,7.3,1.6,0.8,1.3,16.1
10,Jose Alvarado,PG,23,NOP,54,0.446,0.291,0.538,0.679,0.5,1.4,2.8,1.3,0.1,6.1
11,Justin Anderson,SF,28,TOT,16,0.379,0.254,0.583,0.789,0.3,2.6,2.1,0.5,0.4,6.4
14,Kyle Anderson,PF,28,MEM,69,0.446,0.33,0.481,0.638,1.0,4.3,2.7,1.1,0.7,7.6
15,Giannis Antetokounmpo,PF,27,MIL,67,0.553,0.293,0.616,0.722,2.0,9.6,5.8,1.1,1.4,29.9
16,Thanasis Antetokounmpo,SF,29,MIL,48,0.547,0.143,0.596,0.63,0.8,1.3,0.5,0.3,0.3,3.6
17,Carmelo Anthony,PF,37,LAL,69,0.441,0.375,0.521,0.83,0.9,3.3,1.0,0.7,0.8,13.3
18,Cole Anthony,PG,21,ORL,65,0.391,0.338,0.432,0.854,0.5,4.9,5.7,0.7,0.3,16.3
19,OG Anunoby,SF,24,TOR,48,0.443,0.363,0.511,0.754,1.5,4.0,2.6,1.5,0.5,17.1
20,Ryan Arcidiacono,PG,27,NYK,10,0.5,0.444,0.667,0.0,0.0,0.8,0.4,0.1,0.0,1.6
21,Trevor Ariza,SF,36,LAL,24,0.333,0.27,0.52,0.556,0.4,3.0,1.1,0.5,0.3,4.0
22,D.J. Augustin,PG,34,TOT,55,0.423,0.415,0.448,0.884,0.2,1.0,1.9,0.3,0.0,5.3
25,Deni Avdija,SF,21,WAS,82,0.432,0.317,0.525,0.757,0.6,4.5,2.0,0.7,0.5,8.4
26,Joel Ayayi,SG,21,WAS,7,0.167,0.0,0.2,0.0,0.1,0.3,0.6,0.0,0.0,0.3
27,Deandre Ayton,C,23,PHO,58,0.634,0.368,0.642,0.746,2.6,7.7,1.4,0.7,0.7,17.2
28,Udoka Azubuike,C,22,UTA,17,0.755,0.0,0.755,0.545,1.1,3.1,0.0,0.1,0.6,4.7
29,Marvin Bagley III,PF,22,TOT,48,0.504,0.237,0.579,0.663,2.2,4.9,0.8,0.5,0.4,11.3
32,LaMelo Ball,PG,20,CHO,75,0.429,0.389,0.462,0.872,1.4,5.2,7.6,1.6,0.4,20.1
33,Lonzo Ball,PG,24,CHI,35,0.423,0.423,0.423,0.75,1.0,4.4,5.1,1.8,0.9,13.0
34,Mo Bamba,C,23,ORL,71,0.48,0.381,0.563,0.781,2.1,6.0,1.2,0.5,1.7,10.6
35,Desmond Bane,SF,23,MEM,76,0.461,0.436,0.484,0.903,0.6,3.8,2.7,1.2,0.4,18.2
36,Dalano Banton,SF,22,TOR,64,0.411,0.255,0.464,0.591,0.6,1.3,1.5,0.4,0.2,3.2
37,Cat Barber,PG,27,ATL,3,0.0,0.0,0.0,0.0,0.3,0.7,1.0,0.0,0.0,0.0
38,Harrison Barnes,PF,29,SAC,77,0.469,0.394,0.525,0.826,1.1,4.5,2.4,0.7,0.2,16.4
39,Scottie Barnes,PF,20,TOR,74,0.492,0.301,0.543,0.735,2.6,4.9,3.5,1.1,0.7,15.3
40,RJ Barrett,SF,21,NYK,70,0.408,0.342,0.442,0.714,0.9,4.9,3.0,0.6,0.2,20.0
41,Will Barton,SG,31,DEN,71,0.438,0.365,0.504,0.803,0.6,4.2,3.9,0.8,0.4,14.7
42,Paris Bass,SF,26,PHO,2,0.333,0.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,3.0
43,Charles Bassey,PF,21,PHI,23,0.638,0.0,0.698,0.75,1.0,1.7,0.3,0.2,0.7,3.0
44,Keita Bates-Diop,SF,26,SAS,59,0.517,0.309,0.572,0.754,1.1,2.9,0.7,0.5,0.2,5.7
45,Nicolas Batum,PF,33,LAC,59,0.463,0.4,0.607,0.658,0.5,3.8,1.7,1.0,0.7,8.3
46,Kent Bazemore,SF,32,LAL,39,0.324,0.363,0.271,0.765,0.3,1.4,0.9,0.6,0.2,3.4
47,Darius Bazley,PF,21,OKC,69,0.422,0.297,0.511,0.688,1.0,5.3,1.4,0.8,1.0,10.8
48,Bradley Beal,SG,28,WAS,40,0.451,0.3,0.508,0.833,1.0,3.8,6.6,0.9,0.4,23.2
49,Malik Beasley,SG,25,MIN,79,0.391,0.377,0.432,0.817,0.3,2.5,1.5,0.5,0.2,12.1
50,Jordan Bell,C,27,CHI,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
51,DeAndre' Bembry,SF,27,TOT,56,0.561,0.417,0.589,0.6,0.8,2.2,1.2,0.9,0.4,5.1
54,D?vis Bert?ns,PF,29,TOT,56,0.36,0.335,0.489,0.9,0.2,1.9,0.6,0.3,0.2,5.6
57,Patrick Beverley,PG,33,MIN,58,0.406,0.343,0.485,0.722,1.1,3.1,4.6,1.2,0.9,9.2
58,Saddiq Bey,SF,22,DET,82,0.396,0.346,0.454,0.827,1.3,4.1,2.8,0.9,0.2,16.1
59,Khem Birch,C,29,TOR,55,0.485,0.0,0.522,0.746,2.2,2.1,1.0,0.5,0.5,4.5
60,Goga Bitadze,C,22,IND,50,0.52,0.288,0.628,0.681,1.6,2.0,1.1,0.4,0.8,7.0
61,Bismack Biyombo,C,29,PHO,36,0.593,0.0,0.593,0.535,1.8,2.9,0.6,0.3,0.7,5.8
62,Nemanja Bjelica,C,33,GSW,71,0.468,0.362,0.549,0.728,0.9,3.3,2.2,0.6,0.4,6.1
63,Eric Bledsoe,PG,32,LAC,54,0.421,0.313,0.479,0.761,0.5,2.9,4.2,1.3,0.4,9.9
64,Keljin Blevins,SF,26,POR,31,0.306,0.292,0.333,0.545,0.5,0.9,0.6,0.4,0.0,3.1
65,Bogdan Bogdanovi?,SG,29,ATL,63,0.431,0.368,0.516,0.843,0.5,3.5,3.1,1.1,0.2,15.1
66,Bojan Bogdanovi?,PF,32,UTA,69,0.455,0.387,0.524,0.858,0.8,3.4,1.7,0.5,0.0,18.1
67,Bol Bol,PF,22,DEN,14,0.556,0.25,0.609,0.4,0.3,1.1,0.4,0.1,0.1,2.4
68,Leandro Bolmaro,SF,21,MIN,35,0.315,0.278,0.333,0.846,0.5,0.8,0.6,0.2,0.0,1.4
69,Isaac Bonga,SF,22,TOR,15,0.231,0.25,0.222,0.625,0.3,0.2,0.3,0.5,0.1,0.8
70,Devin Booker,SG,25,PHO,68,0.466,0.383,0.508,0.868,0.7,4.4,4.8,1.1,0.4,26.8
71,Brandon Boston Jr.,SG,20,LAC,51,0.385,0.306,0.425,0.819,0.3,1.8,1.0,0.5,0.3,6.7
72,Chris Boucher,PF,29,TOR,80,0.464,0.297,0.575,0.777,2.2,3.9,0.3,0.6,0.9,9.4
73,James Bouknight,SG,21,CHO,31,0.348,0.347,0.348,0.871,0.7,1.0,0.8,0.2,0.0,4.6
74,Avery Bradley,SG,31,LAL,62,0.423,0.39,0.471,0.889,0.5,1.7,0.8,0.9,0.1,6.4
75,Tony Bradley,C,24,CHI,55,0.585,0.0,0.585,0.655,1.2,2.2,0.5,0.2,0.6,3.0
76,Ignas Brazdeikis,SF,23,ORL,42,0.431,0.31,0.535,0.656,0.5,1.2,0.9,0.2,0.1,5.0
77,Mikal Bridges,SF,25,PHO,82,0.534,0.369,0.628,0.834,0.9,3.3,2.3,1.2,0.4,14.2
78,Miles Bridges,PF,23,CHO,80,0.491,0.331,0.59,0.802,1.1,5.9,3.8,0.9,0.8,20.2
79,Oshae Brissett,SF,23,IND,67,0.411,0.35,0.465,0.695,1.6,3.7,1.1,0.7,0.4,9.1
80,Malcolm Brogdon,PG,29,IND,36,0.448,0.312,0.518,0.856,0.9,4.2,5.9,0.8,0.4,19.1
81,Armoni Brooks,SG-PG,23,TOT,54,0.339,0.297,0.6,0.857,0.4,1.5,1.1,0.5,0.2,5.3
84,Dillon Brooks,SF,26,MEM,32,0.432,0.309,0.48,0.849,0.9,2.3,2.8,1.1,0.3,18.4
85,Bruce Brown,SF,25,BRK,72,0.506,0.404,0.529,0.758,1.4,3.4,2.1,1.1,0.7,9.0
86,Charlie Brown Jr.,SG,24,TOT,22,0.256,0.083,0.333,0.9,0.6,0.8,0.3,0.5,0.2,1.4
89,Chaundee Brown Jr.,SG-SF,23,TOT,5,0.313,0.333,0.286,0.833,0.2,3.0,0.8,0.4,0.0,6.2
92,Greg Brown III,SF,20,POR,48,0.426,0.311,0.481,0.677,0.8,2.0,0.7,0.5,0.5,4.7
93,Jaylen Brown,SF,25,BOS,66,0.473,0.358,0.544,0.758,0.8,5.3,3.5,1.1,0.3,23.6
94,Moses Brown,C,22,TOT,40,0.593,0.0,0.593,0.597,1.0,2.4,0.0,0.2,0.4,4.3
97,Sterling Brown,SG,26,DAL,49,0.381,0.304,0.492,0.933,0.5,2.5,0.7,0.3,0.1,3.3
98,Troy Brown Jr.,SF,22,CHI,66,0.419,0.353,0.488,0.769,0.6,2.5,1.0,0.5,0.1,4.3
99,Jalen Brunson,PG,25,DAL,79,0.502,0.373,0.545,0.84,0.5,3.4,4.8,0.8,0.0,16.3
100,Thomas Bryant,C,24,WAS,27,0.52,0.286,0.613,0.875,1.0,3.0,0.9,0.2,0.8,7.4
101,Shaq Buchanan,PG,25,MEM,2,0.25,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,1.0
102,Reggie Bullock,SF,30,DAL,68,0.401,0.36,0.55,0.833,0.5,3.1,1.2,0.6,0.2,8.6
103,Trey Burke,PG,29,DAL,42,0.391,0.317,0.436,0.87,0.1,0.7,1.4,0.3,0.0,5.1
104,Alec Burks,SG,30,NYK,81,0.391,0.404,0.378,0.822,0.6,4.3,3.0,1.0,0.3,11.7
105,Jared Butler,SG,21,UTA,42,0.404,0.318,0.524,0.688,0.1,1.0,1.5,0.4,0.2,3.8
106,Jimmy Butler,SF,32,MIA,57,0.48,0.233,0.52,0.87,1.8,4.1,5.5,1.6,0.5,21.4
107,Devontae Cacok,PF,25,SAS,15,0.677,0.0,0.677,0.571,0.5,2.3,0.4,0.5,0.5,3.1
108,Kentavious Caldwell-Pope,SG,28,WAS,77,0.435,0.39,0.48,0.89,0.5,2.9,1.9,1.1,0.3,13.2
109,Facundo Campazzo,PG,30,DEN,65,0.361,0.301,0.476,0.769,0.4,1.4,3.4,1.0,0.4,5.1
110,Vlatko ?an?ar,PF,24,DEN,15,0.561,0.583,0.552,0.643,0.5,1.5,1.1,0.1,0.2,4.1
111,Devin Cannady,PG,25,ORL,5,0.341,0.405,0.0,0.714,0.2,1.0,2.0,1.0,0.6,10.0
112,Clint Capela,C,27,ATL,74,0.613,0.0,0.614,0.473,3.8,8.1,1.2,0.7,1.3,11.1
113,Vernon Carey Jr.,C,20,TOT,7,0.538,0.0,0.538,0.462,1.1,0.6,0.0,0.3,0.1,2.9
116,Jevon Carter,PG,26,TOT,66,0.387,0.388,0.386,0.833,0.2,1.5,1.5,0.4,0.2,4.2
119,Wendell Carter Jr.,C,22,ORL,62,0.525,0.327,0.615,0.691,2.2,8.2,2.8,0.6,0.7,15.0
120,Alex Caruso,SG,27,CHI,41,0.398,0.333,0.462,0.795,0.8,2.8,4.0,1.7,0.4,7.4
121,Willie Cauley-Stein,C,28,TOT,20,0.457,0.5,0.455,0.5,0.7,1.4,0.5,0.3,0.2,1.7
124,Ahmad Caver,PG,25,IND,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
125,Justin Champagnie,SF,20,TOR,36,0.463,0.357,0.538,1.0,1.0,1.0,0.3,0.2,0.1,2.3
126,Zylan Cheatham,SF,26,UTA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Chris Chiozza,PG,26,GSW,34,0.296,0.321,0.25,0.667,0.3,0.8,1.9,0.4,0.0,2.0
128,Marquese Chriss,PF,24,DAL,34,0.463,0.32,0.495,0.667,1.0,2.1,0.5,0.4,0.4,4.5
129,Josh Christopher,SG,20,HOU,74,0.448,0.296,0.54,0.735,0.7,1.8,2.0,0.9,0.2,7.9
130,Gary Clark,PF,27,NOP,38,0.375,0.4,0.278,0.7,0.6,1.8,0.5,0.3,0.2,2.7
131,Brandon Clarke,PF,25,MEM,64,0.644,0.227,0.666,0.654,2.1,3.2,1.3,0.6,1.1,10.4
132,Jordan Clarkson,SG,29,UTA,79,0.419,0.318,0.535,0.828,0.8,2.6,2.5,0.8,0.2,16.0
133,Nic Claxton,C,22,BRK,47,0.674,0.0,0.674,0.581,1.9,3.7,0.9,0.5,1.1,8.7
134,Amir Coffey,SG,24,LAC,69,0.453,0.378,0.542,0.863,0.4,2.5,1.8,0.6,0.2,9.0
135,John Collins,PF,24,ATL,54,0.526,0.364,0.588,0.793,1.7,6.1,1.8,0.6,1.0,16.2
136,Zach Collins,PF,24,SAS,28,0.49,0.341,0.544,0.8,1.6,3.8,2.2,0.5,0.8,7.8
137,Darren Collison,PG,34,LAL,3,0.286,0.0,0.5,0.0,0.0,1.3,0.7,0.3,0.0,1.3
138,Mike Conley,PG,34,UTA,72,0.435,0.408,0.464,0.796,0.7,2.4,5.3,1.3,0.3,13.7
139,Pat Connaughton,SG,29,MIL,65,0.458,0.395,0.643,0.833,0.7,3.5,1.3,0.9,0.2,9.9
140,Tyler Cook,PF,24,CHI,20,0.605,0.0,0.605,0.656,0.8,1.9,0.2,0.2,0.2,3.4
141,Sharife Cooper,PG,20,ATL,13,0.214,0.167,0.25,0.0,0.0,0.4,0.4,0.0,0.0,0.5
142,Petr Cornelie,PF,26,DEN,13,0.333,0.125,0.571,0.75,0.5,0.5,0.2,0.1,0.1,1.1
143,DeMarcus Cousins,C,31,TOT,48,0.46,0.303,0.554,0.76,1.5,4.1,1.5,0.7,0.4,9.0
146,Robert Covington,PF-SF,31,TOT,71,0.42,0.378,0.509,0.841,0.8,4.7,1.3,1.5,1.3,8.5
149,Torrey Craig,SF,31,TOT,78,0.454,0.329,0.594,0.75,1.1,2.9,1.2,0.6,0.5,6.6
152,Jae Crowder,PF,31,PHO,67,0.399,0.348,0.503,0.789,0.4,4.8,1.9,1.4,0.4,9.4
153,Jarrett Culver,SG,22,MEM,37,0.378,0.255,0.443,0.471,0.4,0.9,0.9,0.5,0.1,3.5
154,Jarron Cumberland,SG,24,POR,3,0.5,0.0,1.0,0.0,0.3,0.7,0.3,0.0,0.0,0.7
155,Cade Cunningham,PG,20,DET,64,0.416,0.314,0.472,0.845,0.9,4.6,5.6,1.2,0.7,17.4
156,Seth Curry,SG,31,TOT,64,0.487,0.422,0.553,0.872,0.3,2.8,3.6,0.8,0.2,15.0
159,Stephen Curry,PG,33,GSW,64,0.437,0.38,0.527,0.923,0.5,4.7,6.3,1.3,0.4,25.5
160,Anthony Davis,C,28,LAL,40,0.532,0.186,0.571,0.713,2.7,7.2,3.1,1.2,2.3,23.2
161,Ed Davis,C,32,CLE,31,0.688,0.0,0.688,0.429,0.5,1.6,0.2,0.1,0.3,0.9
162,Terence Davis,SG,24,SAC,30,0.423,0.329,0.542,0.818,0.4,2.8,1.3,0.8,0.4,10.4
163,Gabriel Deck,PF,26,OKC,7,0.571,0.5,0.6,0.0,0.1,0.7,0.7,0.1,0.0,2.6
164,Dewayne Dedmon,C,32,MIA,67,0.566,0.404,0.597,0.75,1.6,4.2,0.7,0.4,0.6,6.3
165,Sam Dekker,PF,27,TOR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Javin DeLaurier,C,23,MIL,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
167,DeMar DeRozan,PF,32,CHI,76,0.504,0.352,0.52,0.877,0.7,4.4,4.9,0.9,0.3,27.9
168,Mamadi Diakite,PF,25,OKC,13,0.532,0.0,0.595,0.545,1.3,3.2,0.2,0.4,0.7,4.3
169,Cheick Diallo,C,25,DET,3,0.375,0.0,0.375,0.833,1.3,2.7,0.0,0.3,0.0,3.7
170,Hamidou Diallo,SG,23,DET,58,0.496,0.247,0.55,0.65,1.2,3.6,1.3,1.2,0.3,11.0
171,Gorgui Dieng,C,32,ATL,44,0.473,0.426,0.545,0.731,0.7,2.0,0.8,0.3,0.3,3.5
172,Spencer Dinwiddie,PG,28,TOT,67,0.416,0.339,0.479,0.774,0.7,3.5,5.2,0.7,0.2,13.7
175,Donte DiVincenzo,SG,25,TOT,42,0.351,0.339,0.373,0.843,1.0,3.1,2.8,1.1,0.2,9.0
178,Luka Don?i?,PG,22,DAL,65,0.457,0.353,0.528,0.744,0.9,8.3,8.7,1.2,0.6,28.4
179,Luguentz Dort,SF,22,OKC,51,0.404,0.332,0.487,0.843,0.7,3.4,1.7,0.9,0.4,17.2
180,Ayo Dosunmu,SG,22,CHI,77,0.52,0.376,0.596,0.679,0.4,2.4,3.3,0.8,0.4,8.8
181,Damyean Dotson,SG,27,NYK,2,0.5,0.0,0.667,0.0,0.0,1.0,0.5,0.0,0.0,2.0
182,Devon Dotson,PG,22,CHI,11,0.478,0.222,0.643,0.556,0.1,0.7,1.4,0.1,0.0,2.6
183,Sekou Doumbouya,PF,21,LAL,2,0.625,0.5,0.667,0.75,1.0,2.0,0.0,1.5,1.0,7.0
184,Jeff Dowtin,PG,24,TOT,9,0.308,0.111,0.412,1.0,0.9,1.1,1.1,0.6,0.1,2.1
188,PJ Dozier,SG,25,DEN,18,0.364,0.313,0.412,0.769,0.8,2.7,1.6,0.6,0.3,5.4
189,Goran Dragi?,PG,35,TOT,21,0.377,0.254,0.466,0.818,0.6,2.5,4.1,0.9,0.2,7.5
192,Andre Drummond,C,28,TOT,73,0.57,0.0,0.574,0.524,3.1,6.2,1.8,1.1,0.9,7.9
195,Chris Duarte,SG,24,IND,55,0.432,0.369,0.475,0.804,0.7,3.4,2.1,1.0,0.2,13.1
196,David Duke Jr.,PG,22,BRK,22,0.361,0.243,0.423,0.81,1.4,1.7,0.8,0.6,0.3,4.7
197,Kris Dunn,PG,27,POR,14,0.431,0.091,0.473,0.944,0.6,2.9,5.6,1.6,0.2,7.6
198,Kevin Durant,PF,33,BRK,55,0.518,0.383,0.568,0.91,0.5,6.9,6.4,0.9,0.9,29.9
199,Jaime Echenique,C,24,WAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Anthony Edwards,SG,20,MIN,72,0.441,0.357,0.519,0.786,0.9,3.9,3.8,1.5,0.6,21.3
201,Carsen Edwards,SG,23,DET,4,0.3,0.25,0.357,1.0,0.5,1.0,3.5,0.5,0.0,5.8
202,Kessler Edwards,SF,21,BRK,48,0.412,0.353,0.473,0.842,0.9,2.7,0.6,0.6,0.5,5.9
