"","...1","Player","Position 1","Position 2","Age","Team","Games Played","Field Goal Percentage","3 Point Percentage","2 Point Percentage","Free Throw Percentage","Offensive Rebounds Per Game","Defensive Rebounds Per Game","Assists Per Game","Steals Per Game","Blocks Per Game","Points Per Game","Average Fantasy Points","Total Fantasy Points"
"1",0,"Precious Achiuwa","C",NA,22,"TOR",73,0.439,0.359,0.468,0.595,2,4.5,1.1,0.5,0.6,9.1,21.765,1588.845
"2",1,"Steven Adams","C",NA,28,"MEM",76,0.547,0,0.548,0.543,4.6,5.4,3.4,0.9,0.8,6.9,29.295,2226.42
"3",2,"Bam Adebayo","C",NA,24,"MIA",56,0.557,0,0.562,0.753,2.4,7.6,3.4,1.4,0.8,19.1,42.885,2401.56
"4",3,"Santi Aldama","PF",NA,21,"MEM",32,0.402,0.125,0.56,0.625,1,1.7,0.7,0.2,0.3,4.1,9.955,318.56
"5",4,"LaMarcus Aldridge","C",NA,36,"BRK",47,0.55,0.304,0.578,0.873,1.6,3.9,0.9,0.3,1,12.9,24.795,1165.365
"6",5,"Nickeil Alexander-Walker","SG",NA,23,"TOT",65,0.372,0.311,0.433,0.743,0.6,2.3,2.4,0.7,0.4,10.6,21.365,1388.725
"7",8,"Grayson Allen","SG",NA,26,"MIL",66,0.448,0.409,0.533,0.865,0.5,2.9,1.5,0.7,0.3,11.1,20.54,1355.64
"8",9,"Jarrett Allen","C",NA,23,"CLE",56,0.677,0.1,0.688,0.708,3.4,7.3,1.6,0.8,1.3,16.1,37.36,2092.16
"9",10,"Jose Alvarado","PG",NA,23,"NOP",54,0.446,0.291,0.538,0.679,0.5,1.4,2.8,1.3,0.1,6.1,16.67,900.18
"10",11,"Justin Anderson","SF",NA,28,"TOT",16,0.379,0.254,0.583,0.789,0.3,2.6,2.1,0.5,0.4,6.4,15.97,255.52
"11",14,"Kyle Anderson","PF",NA,28,"MEM",69,0.446,0.33,0.481,0.638,1,4.3,2.7,1.1,0.7,7.6,23.12,1595.28
"12",15,"Giannis Antetokounmpo","PF",NA,27,"MIL",67,0.553,0.293,0.616,0.722,2,9.6,5.8,1.1,1.4,29.9,61.365,4111.455
"13",16,"Thanasis Antetokounmpo","SF",NA,29,"MIL",48,0.547,0.143,0.596,0.63,0.8,1.3,0.5,0.3,0.3,3.6,8.55,410.4
"14",17,"Carmelo Anthony","PF",NA,37,"LAL",69,0.441,0.375,0.521,0.83,0.9,3.3,1,0.7,0.8,13.3,24.135,1665.315
